,tick,institutional,shares_outstanding,value_holdings,increased_positions_holders,increased_positions_shares,decreased_positions_holders,decreased_positions_shares,held_positions_holders,total_positions_shares,new_positions_holders,new_positions_shares,sold_positions_holders,sold_positions_shares
1093,ENDP,75.40 %,234,"$1,077",88,"18,728,699",113,"32,170,623",231,"176,198,845",29,"3,595,585",48,"7,254,169"
1094,ENFA,84.98 %,30,$250,40,"7,701,550",23,"3,409,471",96,"25,091,011",20,"3,613,867",14,"2,663,550"
1095,ENFAU,2.90 %,30,$9,3,"164,353",29,"4,835,463",40,"854,935",2,"164,334",24,"4,102,532"
1096,ENFAW,09/30/2021,"5,256",$581,09/30/2021,"401,133",1103.411%,$578,0%,$569,09/30/2021,"321,777",-7.185%,$463
1097,ENG,11.53 %,35,$8,16,"1,272,756",17,"1,662,891",41,"4,057,999",6,"327,214",8,"614,620"
1098,ENJY,23.79 %,119,$122,23,"5,436,919",36,"4,140,701",90,"28,346,872",9,"3,770,074",21,"2,998,776"
1099,ENJYW,09/30/2021,"251,646",$891,09/30/2021,"370,218",0%,$244,-1.362%,$176,09/30/2021,"250,000",New,$165
1100,ENLV,4.63 %,18,$6,9,"66,197",10,"206,358",23,"847,404",4,"46,397",5,"33,073"
1101,ENNV,87.78 %,34,$301,54,"17,203,919",19,"7,763,145",102,"30,283,538",40,"11,648,023",8,"3,726,901"
1102,ENNVU,5.49 %,34,$19,1,"1,036",33,"8,530,854",51,"1,894,782",0,0,26,"7,854,934"
1103,ENNVW,09/30/2021,0,$765,09/30/2021,"516,412",New,$532,0%,$393,09/30/2021,"354,564",-0.001%,$365
1104,ENOB,2.91 %,52,$16,15,"574,029",23,"1,724,232",43,"1,519,226",7,"331,244",10,"352,396"
1105,ENPH,70.64 %,135,"$23,872",341,"9,062,817",287,"7,626,963",706,"95,298,794",86,"2,261,868",67,"1,352,680"
1106,ENSC,13.01 %,24,$5,14,"658,762",3,"1,025,027",17,"3,155,375",14,"658,762",1,"1,212"
1107,ENSG,89.73 %,55,"$4,049",123,"2,470,602",144,"1,748,159",316,"49,582,779",22,"359,757",32,"184,582"
1108,ENTA,96.35 %,20,"$1,685",53,"1,927,545",88,"1,373,848",164,"19,477,625",11,"307,710",15,"190,115"
1109,ENTG,99.03 %,136,"$20,141",237,"8,480,582",183,"7,399,660",485,"134,194,120",77,"1,399,421",36,"224,516"
1110,ENTX,19.68 %,29,$19,7,"719,526",8,"165,002",19,"5,665,992",5,"712,639",5,"121,297"
1111,ENTXW,09/30/2021,0,$16,09/30/2021,"1,178",-22.754%,$0,0%,$0,09/30/2021,0,Sold Out,
1112,ENVB,7.14 %,31,$3,14,"1,215,134",9,"121,284",27,"2,241,438",9,"808,468",3,"33,987"
1113,ENVI,97.23 %,21,$200,42,"6,650,548",14,"3,170,066",78,"20,126,293",24,"3,768,360",8,"1,676,030"
1114,ENVIU,3.61 %,21,$8,3,"106,637",17,"2,723,903",28,"748,168",1,"39,750",15,"2,526,431"
1115,ENVIW,09/30/2021,"236,803",$671,09/30/2021,"500,000",0%,$600,New,$386,09/30/2021,"300,200",New,$360
1116,ENVX,40.52 %,145,"$2,023",80,"49,202,973",12,"939,726",98,"58,822,794",62,"32,937,951",8,"267,334"
1117,ENVXW,09/30/2021,"2,150,000","$48,676",09/30/2021,"1,512,498",0%,"$34,243",0%,"$11,320",09/30/2021,"450,579",531.434%,"$10,201"
1118,EOLS,31.61 %,56,$106,57,"4,280,854",46,"2,858,712",128,"17,570,240",15,"1,239,929",16,"1,721,652"
1119,EOSE,47.99 %,54,$238,47,"3,084,962",33,"1,426,146",94,"25,767,901",13,"210,291",15,"328,032"
1120,EOSEW,09/30/2021,"-12,873","$1,431",09/30/2021,"350,000",0%,"$1,194",0%,"$1,194",09/30/2021,"260,818",-12.396%,$890
1121,EPAY,92.33 %,45,"$1,921",88,"5,053,972",106,"4,336,795",231,"41,708,909",24,"2,740,772",28,"718,251"
1122,EPHY,74.84 %,41,$301,28,"4,303,318",11,"1,513,028",85,"30,721,728",9,"1,156,422",6,"479,443"
1123,EPHYU,7.73 %,41,$32,5,"130,939",18,"1,892,424",40,"3,175,187",3,"120,493",5,"694,012"
1124,EPHYW,09/30/2021,"360,665","$1,260",09/30/2021,"674,862",0%,$850,0%,$845,09/30/2021,"300,000",0%,$378
1125,EPIX,85.06 %,44,$490,42,"10,079,333",41,"6,824,154",97,"37,411,021",18,"2,732,084",22,"4,223,622"
1126,EPSN,49.11 %,23,$59,15,"280,133",2,"3,213",24,"11,539,219",7,"193,505",1,213
1127,EPZM,91.27 %,104,$340,50,"6,954,052",59,"7,393,196",138,"94,826,710",12,"2,140,864",21,"3,145,565"
1128,EQ,24.92 %,29,$38,9,"523,474",12,"309,497",32,"7,322,899",4,"109,987",9,"273,645"
1129,EQBK,56.11 %,17,$331,36,"612,954",37,"549,191",84,"9,454,769",7,"49,416",8,"114,013"
1130,EQIX,96.87 %,90,"$67,979",460,"7,147,727",359,"5,304,319",993,"87,223,762",82,"1,734,752",56,"446,689"
1131,EQOS,12.70 %,37,$20,19,"1,234,813",15,"1,016,194",40,"4,738,281",7,"645,199",8,"582,646"
1132,ERAS,36.45 %,121,$708,54,"44,197,202",0,0,54,"44,197,202",54,"44,197,202",0,0
1133,ERES,78.18 %,34,$267,26,"3,999,415",18,"1,799,661",77,"26,973,612",8,"1,430,790",8,"468,037"
1134,ERESU,13.04 %,34,$46,7,"20,079",11,"2,245,860",27,"4,500,291",1,24,3,"1,041,202"
1135,ERESW,09/30/2021,0,$592,09/30/2021,"736,817",0%,$545,-12.038%,$541,09/30/2021,"664,206",-3.105%,$492
1136,ERIC,9.55 %,"3,072","$3,026",150,"42,081,759",186,"34,691,937",417,"293,547,237",43,"20,663,196",51,"4,285,634"
1137,ERIE,38.47 %,46,"$3,783",110,"1,623,824",95,"783,207",248,"17,767,905",34,"305,090",20,"176,884"
1138,ERII,54.26 %,57,$697,73,"3,699,603",65,"2,122,868",172,"30,774,491",16,"883,901",21,"462,969"
1139,ERYP,7.20 %,28,$5,6,"69,438",1,"4,604",10,"2,011,390",6,"69,438",0,0
1140,ESBK,9.53 %,3,$8,6,"22,331",8,"28,571",15,"331,890",2,"17,068",4,"12,429"
1141,ESCA,28.59 %,13,$75,20,"233,127",30,"220,624",62,"3,856,810",3,"144,614",7,"73,162"
1142,ESEA,11.75 %,7,$21,20,"426,484",8,"71,840",29,"823,029",11,"94,544",3,"18,821"
1143,ESGR,79.39 %,17,"$3,141",86,"577,233",77,"2,362,646",205,"13,327,799",25,"224,891",19,"1,776,168"
1144,ESLT,12.88 %,44,$867,63,"572,880",42,"251,379",129,"5,692,156",12,"81,414",9,"40,423"
1145,ESPR,85.95 %,29,$250,58,"2,754,752",64,"6,318,564",162,"24,992,776",23,"1,138,620",24,"1,975,375"
1146,ESQ,50.20 %,8,$138,16,"651,184",25,"181,989",50,"3,939,784",3,"42,159",9,"79,835"
1147,ESSA,40.63 %,10,$73,15,"165,625",22,"223,971",57,"4,262,930",4,"36,829",6,"64,333"
1148,ESSC,65.71 %,18,$118,7,"1,137,979",12,"427,717",38,"11,632,486",3,"1,049,618",2,"69,320"
1149,ESSCR,09/30/2021,0,$520,09/30/2021,"1,400,000",-6.712%,$487,-6.259%,$459,09/30/2021,"608,641",0%,$212
1150,ESSCW,09/30/2021,"41,228",$274,09/30/2021,"875,925",-0.663%,$171,0%,$81,09/30/2021,"275,000",0%,$54
1151,ESTA,62.88 %,24,$977,67,"1,350,542",31,"560,364",109,"15,093,254",13,"83,095",11,"133,417"
1152,ESXB,53.96 %,22,$149,33,"1,703,811",42,"1,663,936",87,"12,122,444",10,"860,814",17,"888,420"
1153,ETAC,83.85 %,61,$505,31,"6,071,166",34,"5,210,173",109,"51,317,334",7,"2,448,902",9,"1,546,253"
1154,ETACU,5.86 %,61,$36,3,"13,757",9,"906,066",24,"3,588,877",2,"13,307",5,"609,396"
1155,ETACW,09/30/2021,0,$968,09/30/2021,"1,107,999",25.586%,$853,0%,$642,09/30/2021,"701,733",5.238%,$540
1156,ETNB,85.41 %,20,$253,17,"948,136",23,"483,458",52,"17,322,217",3,"33,195",4,"56,870"
1157,ETON,24.23 %,25,$25,19,"441,898",27,"1,310,088",54,"5,963,055",9,"253,441",17,"381,786"
1158,ETSY,90.53 %,127,"$32,082",401,"16,113,206",353,"13,255,039",879,"114,772,496",99,"3,418,038",79,"1,429,345"
1159,ETTX,7.12 %,48,$9,14,"223,899",7,"163,696",29,"3,391,071",5,"105,971",0,0
1160,EUCR,38.03 %,13,$50,13,"391,413",8,"135,876",37,"5,118,560",6,"216,638",3,"120,407"
1161,EUCRU,38.24 %,11,$43,3,"11,326",5,"132,532",19,"4,145,275",0,0,2,"80,002"
1162,EUCRW,09/30/2021,0,$225,09/30/2021,"200,000",0%,$146,0%,$97,09/30/2021,"133,332",0%,$97
1163,EUSG,62.53 %,14,$91,29,"4,773,906",15,"1,281,362",57,"9,025,534",23,"4,523,556",10,"701,672"
1164,EUSGU,1.38 %,14,$2,4,"29,750",19,"2,887,201",26,"198,795",2,"29,321",18,"2,837,201"
1165,EUSGW,09/30/2021,"87,172",$997,09/30/2021,"368,923",New,$930,97.859%,$729,09/30/2021,"164,174",New,$414
1166,EVAX,1.50 %,23,$2,4,"42,205",4,"141,481",9,"340,282",2,"40,515",2,"117,695"
1167,EVBG,109.14 %,38,"$4,545",144,"3,483,384",120,"2,382,598",318,"41,895,789",27,"677,585",32,"806,031"
1168,EVCM,43.10 %,195,"$1,431",54,"84,192,904",0,0,54,"84,192,904",54,"84,192,904",0,0
1169,EVER,64.30 %,23,$213,80,"3,907,804",43,"5,659,882",134,"14,902,631",26,"924,181",17,"3,183,224"
1170,EVFM,16.46 %,163,$12,25,"2,354,530",40,"11,740,813",96,"26,855,242",12,"1,332,527",21,"4,033,599"
1171,EVGN,15.32 %,41,$13,12,"320,490",28,"4,176,904",47,"6,306,861",3,"62,060",8,"2,899,549"
1172,EVGO,33.42 %,69,$314,98,"19,462,819",24,"5,023,118",134,"22,972,562",73,"15,414,119",22,"4,691,613"
1173,EVGOW,09/30/2021,"363,985","$6,356",09/30/2021,"1,075,647",81.452%,"$5,045",-11.693%,"$3,908",09/30/2021,"218,700",-13.762%,"$1,026"
1174,EVK,1.35 %,15,$1,5,"83,585",4,"68,041",11,"199,693",2,"13,862",4,"68,041"
1175,EVLO,86.46 %,53,$393,33,"983,110",25,"375,932",74,"46,223,426",10,"289,505",10,"161,903"
1176,EVLV,24.36 %,142,$196,45,"28,890,181",33,"8,066,329",80,"34,699,333",37,"24,267,076",28,"7,504,337"
1177,EVLVW,09/30/2021,"-46,561","$2,804",09/30/2021,"752,937",0%,"$1,167",-19.401%,$375,09/30/2021,"225,000",0%,$349
1178,EVOJ,62.88 %,13,$76,19,"1,631,963",5,"275,261",49,"7,860,352",8,"727,652",3,"271,378"
1179,EVOJU,26.39 %,13,$33,4,"321,122",7,"234,189",33,"3,298,293",4,"321,122",5,"184,185"
1180,EVOJW,09/30/2021,"263,735",$180,09/30/2021,"250,000",0%,$150,0%,$145,09/30/2021,"239,305",0%,$144
1181,EVOK,12.87 %,33,$3,8,"200,837",6,"500,988",24,"4,204,515",3,"107,849",2,513
1182,EVOL,13.84 %,12,$4,5,"15,627",5,"45,276",18,"1,696,379",0,0,1,"2,000"
1183,EVOP,106.16 %,47,"$1,072",74,"3,527,362",43,"4,041,129",132,"50,343,691",14,"148,337",9,"66,088"
1184,EWBC,89.94 %,142,"$10,731",165,"7,263,010",184,"6,275,457",418,"127,633,627",46,"1,358,421",29,"360,183"
1185,EWCZ,92.14 %,34,$825,60,"31,084,259",0,0,60,"31,084,259",60,"31,084,259",0,0
1186,EWTX,96.84 %,49,$976,23,"1,134,957",13,"973,902",48,"47,736,517",4,"39,626",2,"9,573"
1187,EXAS,92.24 %,172,"$13,518",301,"13,248,906",241,"8,938,224",666,"158,942,839",57,"690,105",69,"1,170,428"
1188,EXC,81.69 %,978,"$43,459",422,"37,062,190",391,"31,884,020",994,"799,163,861",86,"9,810,891",60,"3,797,290"
1189,EXEL,85.94 %,316,"$4,731",157,"25,593,825",178,"21,937,033",385,"271,905,712",41,"7,874,658",45,"2,396,070"
1190,EXLS,95.32 %,33,"$4,250",133,"2,100,475",102,"2,592,817",276,"31,745,495",54,"773,387",15,"120,463"
1191,EXPD,92.93 %,169,"$20,261",330,"6,711,125",330,"9,574,757",783,"157,431,482",77,"1,593,967",73,"1,042,402"
1192,EXPE,97.18 %,146,"$25,251",333,"17,538,668",393,"16,987,868",836,"141,883,836",77,"4,179,896",112,"2,023,306"
1193,EXPI,21.45 %,148,"$1,158",129,"3,231,187",74,"2,308,558",232,"31,652,243",47,"1,535,493",24,"679,026"
1194,EXPO,90.75 %,52,"$5,858",157,"1,787,467",134,"1,730,880",356,"47,289,116",41,"578,554",17,"37,577"
1195,EXTR,83.68 %,130,"$1,455",98,"9,637,969",98,"7,357,971",233,"108,686,473",24,"2,439,612",18,"1,387,350"
1196,EYE,118.35 %,83,"$4,877",98,"8,484,102",100,"6,664,893",223,"97,877,668",27,"756,467",19,"437,651"
1197,EYEN,7.52 %,28,$8,12,"352,650",10,"299,042",32,"2,134,242",5,"268,513",5,"54,097"
1198,EYES,7.18 %,39,$6,19,"668,043",27,"1,723,668",55,"2,828,250",10,"297,431",16,"736,961"
1199,EYESW,1.24 %,8,$0,2,"21,695",0,0,5,"95,058",1,"18,758",0,0
1200,EYPT,67.46 %,33,$384,30,"2,777,638",26,"1,388,539",69,"22,127,477",10,"520,712",7,"198,091"
1201,EZFL,7.45 %,26,$5,12,"1,945,079",0,0,12,"1,945,079",12,"1,945,079",0,0
1202,EZGO,0.62 %,13,$0,4,"77,963",3,"53,950",7,"83,372",3,"77,486",3,"53,950"
1203,EZPW,91.04 %,53,$394,51,"4,715,077",72,"3,542,034",162,"48,330,461",23,"3,126,267",12,"344,090"
1204,FA,93.45 %,153,"$2,614",52,"8,647,827",51,"6,801,657",113,"142,858,110",29,"2,228,362",32,"4,647,491"
1205,FAMI,0.94 %,190,$0,11,"1,657,278",9,"2,413,638",21,"1,789,832",10,"1,656,278",8,"2,348,652"
1206,FANG,87.99 %,181,"$17,566",360,"14,085,248",300,"17,666,330",755,"159,419,518",111,"3,486,916",66,"1,279,780"
1207,FANH,1.19 %,"1,074",$183,21,"493,264",18,"1,928,136",52,"12,757,017",6,"181,718",6,"182,753"
1208,FARM,60.69 %,18,$77,31,"1,962,357",36,"1,201,863",79,"10,973,474",9,"1,255,618",11,"472,261"
1209,FARO,97.20 %,18,"$1,338",57,"498,215",72,"681,784",165,"17,693,636",8,"64,674",22,"303,660"
1210,FAST,79.82 %,575,"$27,971",442,"20,948,244",380,"19,620,766","1,014","459,074,310",70,"5,195,672",64,"1,689,303"
1211,FAT,7.01 %,15,$12,10,"196,793",6,"241,846",20,"1,056,302",5,"28,137",3,"45,738"
1212,FATBB,5.46 %,1,$1,6,"2,824",12,"43,577",19,"69,382",4,"2,383",10,"34,771"
1213,FATBW,09/30/2021,"-6,697","$1,858",09/30/2021,"45,132",-39.93%,$369,-9.116%,$253,09/30/2021,"10,000",0%,$82
1214,FATE,105.51 %,95,"$5,258",143,"15,042,163",127,"9,333,190",308,"100,756,053",37,"5,473,629",42,"1,206,597"
1215,FBIO,30.37 %,100,$90,37,"1,309,859",37,"1,068,279",93,"30,258,014",9,"222,568",15,"343,029"
1216,FBIOP,8.20 %,3,$7,0,0,2,"8,220",3,"281,056",0,0,0,0
1217,FBIZ,59.81 %,8,$149,33,"300,098",32,"453,984",87,"5,018,106",9,"87,247",11,"98,184"
1218,FBMS,69.49 %,21,$612,45,"2,268,278",40,"632,721",105,"14,606,618",7,"108,590",9,"219,673"
1219,FBNC,71.62 %,36,"$1,246",70,"1,964,153",96,"960,761",218,"25,494,092",15,"254,128",21,"243,652"
1220,FBRX,26.50 %,15,$11,37,"1,888,485",52,"6,587,480",96,"3,910,585",21,"861,528",38,"6,385,310"
1221,FCAP,12.51 %,3,$17,6,"40,313",17,"27,759",28,"421,959",0,0,4,"5,498"
1222,FCBC,38.48 %,17,$240,26,"89,268",51,"266,965",97,"6,547,752",7,"37,399",5,"30,042"
1223,FCCO,49.43 %,8,$81,15,"368,395",27,"365,418",58,"3,728,874",4,"211,294",9,"187,363"
1224,FCCY,39.65 %,10,$104,24,"1,069,168",24,"684,605",58,"4,092,687",13,"928,654",9,"289,844"
1225,FCEL,37.23 %,367,"$1,279",136,"18,960,519",89,"13,856,181",284,"136,501,823",46,"6,507,343",33,"1,958,827"
1226,FCFS,94.71 %,40,"$2,556",77,"1,243,312",115,"1,912,392",225,"38,293,466",22,"611,452",25,"159,896"
1227,FCNCA,61.31 %,9,"$4,784",63,"550,361",111,"273,625",233,"5,402,277",18,"15,708",20,"19,524"
1228,FCNCP,0.00 %,14,$0,0,0,2,"41,200",2,0,0,0,2,"41,200"
1229,FCRD,32.79 %,30,$47,17,"3,101,777",15,"345,171",43,"9,874,330",7,"2,229,968",4,"124,279"
1230,FCUV,0.37 %,43,$1,11,"161,583",0,0,11,"161,583",11,"161,583",0,0
1231,FDBC,14.17 %,6,$43,15,"84,800",14,"21,651",39,"800,220",3,"67,489",1,8
1232,FDMT,59.64 %,32,$415,44,"2,950,786",15,"396,736",68,"19,166,796",12,"536,191",4,"62,343"
1233,FDUS,21.95 %,24,$99,37,"364,413",35,"678,444",88,"5,364,217",14,"162,183",7,"67,648"
1234,FEIM,57.90 %,9,$52,11,"112,935",12,"176,858",30,"5,353,444",1,"2,568",6,"88,833"
1235,FELE,79.29 %,46,"$3,560",107,"1,261,304",109,"834,592",269,"36,815,138",22,"192,382",16,"88,356"
1236,FEMY,4.43 %,12,$2,8,"35,710",7,"113,965",17,"522,963",6,"32,619",7,"113,965"
1237,FENC,44.79 %,26,$113,9,"123,920",23,"553,184",42,"11,649,109",3,"25,390",10,"213,542"
1238,FFBC,74.41 %,94,"$1,779",76,"1,583,692",104,"3,690,782",229,"69,756,133",20,"894,868",17,"674,759"
1239,FFBW,19.14 %,7,$16,5,"43,728",8,"15,243",24,"1,316,080",0,0,1,458
1240,FFHL,7.42 %,3,$2,0,0,2,"21,515",2,"242,457",0,0,1,"2,315"
1241,FFIC,69.44 %,31,$523,48,"1,086,068",58,"1,033,891",134,"21,301,753",13,"520,097",8,"116,469"
1242,FFIE,13.11 %,260,$224,47,"33,228,773",15,"1,078,544",66,"34,127,228",38,"27,613,842",11,"810,497"
1243,FFIEW,09/30/2021,"370,249","$6,231",09/30/2021,"515,526",-69.845%,$789,0%,$566,09/30/2021,"284,000",0%,$435
1244,FFIN,53.83 %,142,"$4,182",124,"3,685,400",112,"4,832,890",294,"76,697,189",43,"1,096,960",20,"379,412"
1245,FFIV,95.53 %,61,"$13,509",248,"3,364,261",243,"3,086,181",581,"58,491,364",63,"1,025,891",52,"516,844"
1246,FFNW,41.38 %,9,$65,10,"131,689",20,"231,544",40,"3,869,595",0,0,3,"24,640"
1247,FFWM,68.16 %,45,$870,68,"2,652,768",73,"1,380,325",166,"30,718,774",13,"1,382,229",21,"586,557"
1248,FGBI,8.42 %,10,$19,8,"41,414",15,"84,034",37,"820,297",3,"32,063",4,"54,423"
1249,FGEN,69.86 %,93,$804,89,"12,971,082",90,"16,574,118",209,"64,766,966",32,"3,116,116",39,"8,276,172"
1250,FGF,7.96 %,6,$2,4,"3,134",6,"8,306",17,"461,800",2,"2,604",1,1
1251,FHB,102.98 %,129,"$3,779",110,"6,266,153",101,"6,226,608",253,"132,658,359",25,"770,547",13,"293,653"
1252,FHLTU,93.79 %,20,$192,38,"18,758,581",0,0,38,"18,758,581",38,"18,758,581",0,0
1253,FHTX,64.11 %,37,$296,20,"654,732",18,"381,601",49,"23,779,093",11,"381,238",4,"103,199"
1254,FIBK,84.62 %,42,"$1,534",105,"5,540,990",67,"1,696,080",205,"35,299,994",26,"1,860,785",16,"390,316"
1255,FICV,3.30 %,20,$6,5,"660,109",0,0,5,"660,109",5,"660,109",0,0
1256,FICVW,09/30/2021,"100,000",$57,09/30/2021,"83,658",New,$48,New,$19,09/30/2021,32,New,$0
1257,FINM,80.31 %,41,$325,32,"6,056,246",11,"1,336,839",88,"33,246,660",10,"998,835",6,"1,305,062"
1258,FINMU,9.24 %,41,$38,8,"373,874",27,"4,310,433",54,"3,823,355",5,"261,993",12,"2,948,115"
1259,FINMW,09/30/2021,"595,066","$1,024",09/30/2021,"837,380",17.231%,$670,0%,$627,09/30/2021,"617,426",0%,$494
1260,FISI,67.51 %,16,$356,44,"420,157",53,"351,753",124,"10,691,806",11,"72,387",10,"79,516"
1261,FITBI,0.00 %,18,$0,0,0,1,"3,646",2,348,0,0,1,"3,646"
1262,FIVE,98.80 %,56,"$11,713",221,"5,350,426",219,"4,921,775",511,"55,351,551",52,"1,407,575",61,"1,946,608"
1263,FIVN,99.34 %,68,"$9,115",224,"22,851,169",233,"24,037,674",505,"67,599,907",106,"12,637,333",102,"6,388,452"
1264,FIXX,55.66 %,57,$165,54,"3,655,823",43,"4,565,889",132,"31,808,190",18,"455,767",13,"1,340,194"
1265,FIZZ,26.35 %,93,"$1,543",94,"1,137,256",112,"1,974,054",244,"24,591,138",34,"564,953",26,"476,341"
1266,FKWL,20.21 %,12,$9,11,"445,086",10,"294,213",25,"2,343,196",7,"405,714",3,"3,645"
1267,FLACU,33.04 %,14,$47,1,294,13,"622,646",33,"4,724,742",0,0,7,"434,300"
1268,FLACW,09/30/2021,"250,000",$234,09/30/2021,"180,932",-1.309%,$141,0%,$117,09/30/2021,"134,532",438.128%,$105
1269,FLEX,97.26 %,471,"$8,157",159,"31,133,645",145,"40,055,094",371,"457,731,454",44,"3,576,638",47,"8,394,749"
1270,FLGC,1.82 %,63,$2,22,"1,072,580",2,"13,199",27,"1,145,223",17,"1,063,527",2,"13,199"
1271,FLGT,37.94 %,30,$980,134,"1,734,198",99,"1,059,401",285,"11,318,746",43,"443,416",24,"276,105"
1272,FLIC,57.16 %,24,$301,32,"717,942",57,"715,954",114,"13,500,853",5,"95,897",13,"311,797"
1273,FLMN,54.34 %,46,$131,48,"3,390,155",51,"4,819,430",112,"25,201,125",11,"260,981",16,"2,332,922"
1274,FLMNW,09/30/2021,0,$609,09/30/2021,"2,521,251",0%,$403,0%,$242,09/30/2021,"1,072,500",0%,$172
1275,FLNT,37.67 %,79,$62,22,"1,901,041",49,"3,419,561",87,"29,742,573",5,"159,243",17,"715,086"
1276,FLUX,30.25 %,16,$26,24,"2,363,098",12,"1,534,710",41,"4,836,204",15,"1,952,278",7,"1,480,287"
1277,FLWS,76.80 %,37,$912,66,"1,679,965",90,"4,063,819",197,"28,366,931",13,"431,616",34,"1,082,400"
1278,FLXS,58.77 %,7,$118,24,"130,487",27,"241,495",65,"3,976,252",5,"25,859",8,"83,380"
1279,FLYW,68.89 %,99,"$2,536",56,"5,326,470",36,"2,919,824",101,"67,993,754",29,"2,622,028",22,"1,169,648"
1280,FMAO,15.73 %,13,$54,14,"188,225",22,"148,670",46,"2,055,447",3,"30,655",9,"38,107"
1281,FMBH,35.27 %,18,$283,34,"266,900",36,"349,687",92,"6,380,610",7,"160,582",5,"200,879"
1282,FMBI,82.60 %,114,"$2,012",96,"7,136,026",88,"7,148,452",228,"94,297,169",25,"3,008,217",14,"1,090,315"
1283,FMBIO,0.00 %,5,$0,0,0,1,"3,367",1,0,0,0,1,"3,367"
1284,FMBIP,0.66 %,4,$1,1,"1,700",2,"6,916",3,"28,372",0,0,2,"6,916"
1285,FMIV,71.90 %,35,$244,25,"6,938,889",6,"597,846",58,"24,878,854",15,"4,730,651",1,"109,892"
1286,FMIVU,19.61 %,35,$69,5,"502,961",20,"5,712,845",47,"6,787,475",3,"502,652",13,"5,539,428"
1287,FMIVW,09/30/2021,0,$497,09/30/2021,"250,000",0%,$305,New,$229,09/30/2021,"187,500",0%,$229
1288,FMNB,47.49 %,28,$250,54,"1,094,298",43,"830,128",124,"13,448,706",12,"470,561",8,"75,671"
1289,FMTX,83.15 %,47,$676,44,"2,098,513",35,"3,039,857",96,"39,418,863",15,"273,659",9,"1,223,943"
1290,FNCB,13.55 %,20,$25,18,"348,731",18,"268,445",44,"2,707,316",3,"22,096",8,"72,577"
1291,FNCH,17.30 %,47,$111,25,"3,502,211",16,"801,217",51,"8,213,333",5,"2,577,600",6,"678,977"
1292,FNHC,23.58 %,17,$7,10,"423,773",34,"1,881,057",54,"4,114,758",3,"44,403",17,"1,401,735"
1293,FNKO,84.52 %,39,$599,60,"3,584,977",62,"3,745,282",145,"33,289,885",16,"380,436",19,"781,413"
1294,FNLC,39.20 %,11,$140,22,"69,972",28,"138,416",67,"4,310,841",5,"34,393",1,"4,963"
1295,FNWB,50.86 %,10,$97,19,"269,633",27,"407,079",54,"5,099,347",2,"11,381",10,"162,680"
1296,FNWD,5.43 %,3,$9,2,"7,800",0,0,4,"188,821",0,0,0,0
1297,FOCS,108.58 %,60,"$4,417",118,"5,039,789",87,"4,024,142",245,"65,511,387",37,"1,365,010",33,"1,688,193"
1298,FOLD,106.07 %,279,"$3,348",117,"35,633,141",103,"19,125,147",266,"295,539,767",32,"3,261,781",27,"9,550,838"
1299,FONR,51.13 %,7,$57,14,"185,981",33,"269,958",60,"3,351,324",1,92,9,"93,650"
1300,FORA,12.95 %,33,$39,22,"696,467",7,"73,373",37,"4,218,240",4,"125,803",3,"34,857"
1301,FORD,15.07 %,10,$3,4,"4,160",7,"73,303",17,"1,511,510",0,0,2,"28,952"
1302,FORE,69.54 %,40,$280,40,"9,617,493",14,"5,098,495",92,"28,070,786",16,"3,968,481",3,"3,474,994"
1303,FOREU,7.37 %,32,$25,4,"223,452",15,"3,137,939",33,"2,390,953",4,"223,452",11,"2,481,107"
1304,FOREW,09/30/2021,"345,927",$446,09/30/2021,"331,563",0%,$428,-2.033%,$379,09/30/2021,"251,295",-3.046%,$324
1305,FORM,92.46 %,78,"$3,113",114,"7,062,136",112,"4,769,863",258,"72,314,038",27,"1,714,313",32,"973,532"
1306,FORR,56.03 %,19,$648,60,"737,519",43,"990,526",127,"10,741,308",23,"237,235",6,"560,275"
1307,FORTY,0.16 %,15,$3,7,"5,033",5,"4,748",14,"24,973",3,"3,211",2,"2,740"
1308,FOSL,84.37 %,52,$574,50,"2,638,264",70,"2,255,094",144,"43,994,458",15,"544,255",10,"297,216"
1309,FOX,53.74 %,249,"$4,869",156,"11,071,374",160,"11,969,469",375,"133,953,400",39,"803,036",28,"1,462,898"
1310,FOXA,97.85 %,320,"$12,266",233,"23,600,147",230,"20,837,971",559,"313,467,694",53,"1,420,206",56,"5,992,382"
1311,FOXF,102.89 %,42,"$8,028",133,"1,177,552",125,"1,496,830",298,"43,320,114",31,"229,169",21,"353,055"
1312,FOXW,96.99 %,6,$56,16,"892,935",5,"65,735",30,"5,625,607",8,"437,234",2,"60,000"
1313,FOXWU,5.67 %,6,$3,3,"90,654",8,"275,592",17,"325,951",1,"89,300",6,"264,846"
1314,FOXWW,09/30/2021,0,$208,09/30/2021,"340,000",0%,$170,0%,$140,09/30/2021,"150,000",0%,$75
1315,FPAY,17.76 %,21,$9,12,"290,109",18,"497,151",37,"3,799,857",8,"257,509",7,"228,281"
1316,FRAF,17.77 %,4,$26,12,"56,059",23,"80,219",44,"787,663",3,"16,600",6,"15,899"
1317,FRBA,41.51 %,20,$126,26,"191,700",28,"437,898",75,"8,149,009",8,"57,589",6,"75,989"
1318,FRBK,65.84 %,59,$139,27,"462,919",42,"2,178,006",98,"39,142,569",8,"108,539",11,"393,574"
1319,FREE,78.73 %,38,$365,45,"4,275,190",44,"1,440,486",104,"30,294,908",11,"813,203",15,"530,792"
