,tick,institutional,shares_outstanding,value_holdings,increased_positions_holders,increased_positions_shares,decreased_positions_holders,decreased_positions_shares,held_positions_holders,total_positions_shares,new_positions_holders,new_positions_shares,sold_positions_holders,sold_positions_shares
2141,LINC,63.50 %,27,$116,24,"1,039,944",32,"840,028",70,"17,146,752",6,"238,193",10,"333,021"
2142,LIND,62.62 %,50,$486,57,"3,000,585",40,"3,404,163",115,"31,433,580",16,"343,375",7,"1,027,875"
2143,LINK,0.08 %,7,$0,2,"1,829",2,"1,727",4,"5,545",0,0,0,0
2144,LIQT,42.68 %,21,$46,12,"214,657",16,"1,352,109",37,"9,084,701",1,"49,471",8,"582,553"
2145,LITE,92.05 %,72,"$6,013",178,"4,419,532",202,"7,344,999",472,"66,549,577",55,"1,963,972",39,"1,161,207"
2146,LITT,48.84 %,34,$161,22,"16,649,795",0,0,22,"16,649,795",22,"16,649,795",0,0
2147,LITTU,45.33 %,34,$155,8,"322,778",29,"15,457,078",48,"15,452,886",5,"235,667",20,"13,708,338"
2148,LITTW,09/30/2021,"1,333,331","$1,427",09/30/2021,"799,500",New,$855,New,$678,09/30/2021,"466,667",New,$499
2149,LIVE,13.95 %,2,$8,8,"42,349",11,"22,774",23,"219,108",3,"18,615",9,"22,569"
2150,LIVN,98.23 %,53,"$4,512",137,"7,581,128",83,"2,671,382",248,"52,283,545",34,"650,001",30,"780,356"
2151,LIXT,8.82 %,14,$2,6,"53,883",4,"304,801",13,"1,212,157",2,"39,340",3,"128,805"
2152,LIZI,0.30 %,771,$6,15,"977,905",13,"2,080,580",34,"2,282,344",6,"463,045",5,"1,032,212"
2153,LJAQ,57.39 %,17,$98,17,"1,366,584",7,"256,561",46,"9,969,260",5,"698,728",3,"127,234"
2154,LJAQU,23.00 %,12,$28,2,"181,892",9,"977,773",29,"2,760,072",2,"181,892",3,"714,722"
2155,LJAQW,09/30/2021,0,$461,09/30/2021,"447,773",23.524%,$282,0%,$220,09/30/2021,"295,860",New,$186
2156,LJPC,64.68 %,27,$80,15,"541,833",35,"1,074,866",66,"17,779,972",6,"399,770",13,"278,216"
2157,LKCO,1.62 %,382,$6,11,"2,457,326",10,"493,828",26,"6,189,260",8,"2,442,259",5,"346,962"
2158,LKFN,82.27 %,25,"$1,559",99,"4,119,075",70,"2,056,243",196,"20,813,905",32,"389,043",19,"991,930"
2159,LKQ,98.00 %,292,"$17,075",279,"15,111,829",273,"17,826,564",639,"286,396,234",69,"2,127,851",40,"1,867,875"
2160,LLL,4.00 %,5,$1,2,"15,104",5,"45,701",8,"196,028",1,"11,604",3,"37,846"
2161,LLNW,47.25 %,134,$185,66,"7,494,450",76,"13,013,658",174,"63,222,716",17,"3,746,374",22,"6,239,511"
2162,LMACA,42.48 %,58,$251,27,"5,355,322",10,"757,280",77,"24,427,042",9,"2,428,516",7,"706,580"
2163,LMACU,34.63 %,58,$214,13,"393,857",26,"3,223,483",67,"19,915,055",1,"136,379",12,"350,310"
2164,LMACW,09/30/2021,0,"$1,376",09/30/2021,"402,216",New,$865,0%,$748,09/30/2021,"250,000",0%,$538
2165,LMAO,84.52 %,10,$89,20,"1,509,196",4,"11,044",41,"8,835,423",8,"513,153",1,810
2166,LMAOU,13.30 %,10,$15,5,"81,734",8,"264,050",22,"1,376,583",3,"77,172",4,"239,973"
2167,LMAOW,09/30/2021,0,$215,09/30/2021,"300,000",0%,$161,0%,$151,09/30/2021,"250,000",0%,$135
2168,LMAT,86.29 %,22,$943,113,"1,502,940",60,"594,352",211,"18,845,038",25,"299,960",13,"96,893"
2169,LMB,41.46 %,10,$28,13,"529,095",15,"519,422",38,"4,272,408",5,"71,500",2,"11,551"
2170,LMDX,17.44 %,45,$76,19,"7,274,853",51,"8,528,760",72,"7,888,366",14,"7,215,281",47,"8,343,248"
2171,LMDXW,09/30/2021,"1,434,316","$2,453",09/30/2021,"190,174",0.902%,$325,0%,$235,09/30/2021,"125,000",0%,$214
2172,LMFA,2.79 %,13,$2,7,"144,749",2,"3,905",11,"356,813",4,"36,775",1,17
2173,LMNL,0.50 %,31,$0,4,"24,804",9,"60,229",17,"156,619",1,"1,100",1,1
2174,LMNR,48.21 %,18,$138,31,"157,073",31,"496,511",80,"8,526,707",10,"65,103",5,"299,684"
2175,LMPX,6.60 %,11,$8,11,"112,026",7,"10,632",19,"719,814",2,"14,036",3,"2,549"
2176,LMRK,31.69 %,25,$131,29,"5,788,876",32,"1,169,877",80,"8,076,785",18,"3,492,921",16,"683,436"
2177,LMRKN,1.21 %,2,$1,0,0,1,"45,825",2,"24,000",0,0,1,"45,825"
2178,LMRKP,0.02 %,2,$0,0,0,0,0,1,400,0,0,0,0
2179,LMST,36.79 %,8,$53,15,"457,625",17,"147,803",44,"2,796,732",3,"22,884",3,"100,842"
2180,LNDC,91.24 %,29,$253,41,"3,660,835",50,"2,166,499",110,"26,879,959",14,"1,921,466",16,"746,439"
2181,LNSR,55.99 %,11,$43,8,"219,331",25,"232,584",57,"6,134,458",0,0,10,"91,642"
2182,LNT,77.87 %,250,"$11,281",244,"10,172,438",237,"6,886,147",618,"194,964,124",53,"5,838,238",35,"595,974"
2183,LNTH,97.46 %,68,"$1,887",83,"8,157,319",97,"6,075,782",209,"65,969,947",19,"526,997",28,"1,727,877"
2184,LOAN,15.86 %,11,$11,18,"428,280",7,"40,165",33,"1,822,855",8,"216,094",1,67
2185,LOB,58.42 %,43,"$2,457",72,"1,894,453",64,"1,272,436",181,"25,180,681",17,"168,021",17,"323,773"
2186,LOCO,97.41 %,37,$502,37,"2,981,098",54,"1,175,047",116,"35,615,476",7,"93,053",7,"129,994"
2187,LOGC,48.52 %,33,$49,16,"942,337",30,"694,726",67,"15,990,763",6,"718,744",11,"263,332"
2188,LOGI,40.18 %,167,"$5,403",148,"8,421,949",182,"10,389,706",375,"67,299,487",39,"3,088,185",58,"720,240"
2189,LOOP,10.74 %,47,$69,16,"421,928",17,"591,255",44,"5,063,917",4,"83,904",8,"299,955"
2190,LOPE,105.75 %,40,"$3,228",110,"1,908,051",157,"3,421,626",320,"42,379,355",21,"379,290",42,"499,146"
2191,LOTZ,25.80 %,114,$90,53,"4,527,069",42,"2,642,271",109,"29,408,584",15,"815,064",25,"1,920,650"
2192,LOTZW,09/30/2021,"-62,794","$1,262",09/30/2021,"1,587,798",0%,"$1,040",33.289%,$262,09/30/2021,"29,600",0%,$19
2193,LOVE,92.13 %,15,"$1,008",81,"2,205,596",67,"1,340,111",164,"13,928,279",29,"963,112",24,"256,263"
2194,LPCN,10.40 %,88,$10,18,"780,220",9,"720,871",39,"9,184,204",7,"217,178",2,"91,333"
2195,LPLA,98.13 %,80,"$13,409",221,"6,029,924",185,"4,235,208",475,"78,644,942",58,"903,009",48,"1,132,809"
2196,LPRO,81.12 %,126,"$2,528",119,"12,687,827",77,"12,480,280",222,"102,363,240",41,"3,967,062",21,"1,123,596"
2197,LPSN,103.09 %,71,"$2,916",114,"6,227,501",129,"4,198,665",287,"72,948,580",26,"1,792,191",33,"904,154"
2198,LPTH,20.31 %,27,$10,13,"172,134",17,"619,106",43,"5,483,643",4,"26,495",8,"185,889"
2199,LPTX,47.41 %,88,$87,48,"24,344,051",15,"4,065,398",71,"41,873,566",32,"20,429,945",8,"3,835,673"
2200,LQDA,19.87 %,52,$39,14,"715,198",29,"1,027,320",53,"10,330,497",1,"5,942",11,"464,358"
2201,LQDT,68.51 %,35,$635,45,"1,711,158",72,"1,315,748",136,"24,281,104",17,"1,074,975",13,"258,601"
2202,LRFC,14.42 %,3,$10,12,"157,452",10,"83,839",25,"390,914",5,"138,955",4,"69,029"
2203,LRMR,81.45 %,18,$148,28,"1,005,665",13,"1,124,279",57,"14,425,546",12,"426,805",4,"272,488"
2204,LSBK,6.38 %,6,$6,6,"30,838",4,"66,378",14,"363,152",2,"1,099",1,24
2205,LSCC,98.42 %,137,"$10,695",138,"5,212,172",133,"7,060,017",305,"134,777,755",40,"1,010,310",23,"826,897"
2206,LSEAW,09/30/2021,0,$720,09/30/2021,"1,041,928",-0.125%,$257,5.951%,$182,09/30/2021,"425,731",0%,$105
2207,LSTR,99.12 %,38,"$6,620",178,"1,937,508",196,"3,182,359",449,"37,774,208",58,"672,800",41,"775,684"
2208,LSXMA,91.82 %,97,"$4,598",126,"7,448,535",146,"7,837,412",388,"89,458,502",36,"2,754,452",23,"2,052,769"
2209,LSXMB,1.50 %,10,$8,3,"45,170",2,402,11,"146,905",2,"45,002",0,0
2210,LSXMK,84.24 %,225,"$9,722",147,"9,491,815",175,"10,657,053",457,"189,704,705",40,"2,040,308",26,"2,124,062"
2211,LTBR,5.03 %,8,$4,8,"26,870",5,"13,558",17,"383,453",4,"13,722",1,"4,166"
2212,LTCH,37.48 %,142,$428,44,"17,161,972",32,"11,187,133",81,"53,306,478",23,"2,772,175",20,"6,500,649"
2213,LTCHW,09/30/2021,"1,021,340","$2,591",09/30/2021,"1,000,000",0%,"$1,840",-14.061%,"$1,025",09/30/2021,"436,073",-10.705%,$802
2214,LTRN,12.52 %,11,$12,15,"97,863",8,"43,975",27,"1,400,706",5,"75,543",2,14
2215,LTRPA,65.53 %,72,$114,58,"8,831,328",65,"12,070,380",157,"47,375,254",16,"325,817",22,"6,779,073"
2216,LTRPB,0.02 %,3,$0,2,225,1,2,5,752,1,111,1,2
2217,LTRX,16.59 %,34,$42,27,"933,049",10,"328,383",53,"5,715,518",12,"662,498",3,"173,978"
2218,LTRY,2.53 %,50,$9,10,"871,561",7,"57,913",24,"1,273,960",7,"242,376",4,"38,580"
2219,LTRYW,09/30/2021,"1,534",$231,09/30/2021,"70,000",-33.333%,$117,0%,$117,09/30/2021,"62,879",0%,$105
2220,LULU,87.00 %,125,"$49,735",475,"7,873,363",385,"4,670,371","1,026","108,412,745",113,"1,706,825",78,"1,129,523"
2221,LUMO,34.37 %,8,$22,12,"186,052",16,"516,764",45,"2,872,238",5,"67,364",7,"467,544"
2222,LUNA,50.23 %,32,$143,45,"1,084,470",37,"799,175",92,"16,057,544",15,"226,604",9,"348,767"
2223,LUNG,85.93 %,37,"$1,108",77,"7,355,828",39,"1,535,326",132,"31,655,915",19,"377,125",12,"671,233"
2224,LUXA,68.62 %,34,$233,27,"5,006,335",16,"1,554,341",63,"23,673,540",8,"2,638,036",6,"1,088,853"
2225,LUXAU,12.28 %,30,$37,5,"14,139",9,"1,586,408",21,"3,684,198",2,"12,367",6,"1,556,114"
2226,LUXAW,09/30/2021,"750,000",$825,09/30/2021,"665,260",0%,$732,0%,$510,09/30/2021,"340,509",0%,$375
2227,LVO,34.34 %,79,$57,38,"1,389,599",39,"4,428,711",85,"27,225,227",8,"280,139",21,"1,549,586"
2228,LVOX,85.43 %,98,$387,32,"8,029,361",25,"2,524,241",63,"83,928,874",18,"4,941,887",15,"1,486,826"
2229,LVOXW,09/30/2021,"-59,824",$764,09/30/2021,"1,000,000",0%,$720,0%,$590,09/30/2021,"776,769",12.786%,$559
2230,LVRA,52.81 %,27,$140,28,"6,468,813",4,"310,028",48,"14,327,223",20,"4,267,178",2,"250,000"
2231,LVRAW,09/30/2021,"274,999",$221,09/30/2021,"266,667",0%,$214,0%,$134,09/30/2021,"166,665",New,$134
2232,LVTX,31.88 %,26,$56,8,"164,277",11,"719,345",24,"8,217,877",6,"152,119",5,"372,271"
2233,LWAY,7.54 %,15,$6,3,"14,654",10,"52,571",23,"1,163,367",1,"1,025",5,"19,668"
2234,LWLG,1.45 %,108,$21,44,"1,312,754",1,"124,000",48,"1,572,242",42,"1,295,754",1,"124,000"
2235,LX,16.68 %,267,$209,47,"4,631,397",59,"8,292,079",120,"44,585,039",15,"1,423,094",27,"4,606,887"
2236,LXEH,0.00 %,67,$0,0,0,1,418,1,"1,580",0,0,0,0
2237,LXRX,84.32 %,149,$630,43,"8,212,599",52,"4,322,732",116,"125,555,175",10,"672,986",17,"1,813,933"
2238,LYEL,31.88 %,240,$718,39,"6,162,375",29,"3,329,783",79,"76,669,361",28,"2,013,186",18,"1,451,017"
2239,LYFT,81.89 %,332,"$12,421",271,"20,146,012",221,"31,781,886",596,"271,971,483",67,"2,873,856",69,"8,818,399"
2240,LYL,0.70 %,18,$0,1,"16,571",7,"49,440",8,"129,228",1,"16,571",4,"41,532"
2241,LYLT,74.33 %,25,$595,155,"2,097,375",197,"3,105,013",422,"18,264,515",39,"381,251",62,"359,794"
2242,LYRA,51.27 %,13,$36,10,"292,590",28,"605,810",49,"6,667,151",3,"128,500",12,"194,586"
2243,LYTS,63.66 %,27,$127,37,"1,179,105",47,"1,737,603",102,"17,137,753",7,"602,859",17,"549,367"
2244,LZ,48.89 %,197,"$1,753",63,"21,665,211",61,"5,876,642",132,"96,333,882",41,"1,166,751",45,"3,500,162"
2245,MACA,59.24 %,12,$69,18,"1,236,224",6,"167,681",42,"7,096,752",8,"526,066",0,0
2246,MACAU,23.46 %,12,$28,2,"22,885",17,"1,211,668",38,"2,786,498",1,"20,535",12,"1,144,769"
2247,MACAW,09/30/2021,0,$592,09/30/2021,"337,500",0%,$216,0%,$187,09/30/2021,"189,800",New,$121
2248,MACK,57.28 %,13,$32,6,"161,814",19,"355,983",45,"7,681,938",2,"5,067",6,"103,512"
2249,MACQ,82.12 %,32,$258,51,"10,019,370",18,"2,655,371",100,"25,971,225",30,"4,841,510",10,"1,068,319"
2250,MACQU,9.18 %,32,$30,3,"114,392",43,"6,712,358",62,"2,903,842",1,"113,341",33,"5,090,333"
2251,MACQW,09/30/2021,0,$982,09/30/2021,"411,164",New,$489,32.035%,$419,09/30/2021,"250,000",New,$298
2252,MACU,82.02 %,14,$113,14,"846,377",5,"629,415",32,"11,277,894",3,"85,085",1,"5,633"
2253,MACUW,09/30/2021,0,$337,09/30/2021,"951,330",22.751%,$323,0%,$306,09/30/2021,"871,842",-0.262%,$296
2254,MANH,98.16 %,63,"$9,950",191,"4,743,808",143,"4,943,536",390,"62,114,856",55,"461,853",24,"400,074"
2255,MANT,98.37 %,28,"$2,006",98,"1,275,160",90,"1,415,098",227,"27,112,475",18,"121,989",18,"478,364"
2256,MAPS,57.39 %,66,$283,50,"16,799,297",32,"4,061,410",93,"37,692,047",25,"10,492,031",16,"1,970,343"
2257,MAPSW,09/30/2021,0,"$6,556",09/30/2021,"1,132,394",-3.633%,"$2,140",0%,"$1,323",09/30/2021,"533,172",-1.635%,"$1,008"
2258,MAQC,90.84 %,18,$163,28,"7,962,511",4,"159,868",37,"16,254,494",21,"6,166,013",2,"130,973"
2259,MAQCW,09/30/2021,0,$516,09/30/2021,"500,000",New,$324,New,$256,09/30/2021,"392,138",New,$254
2260,MAR,60.94 %,326,"$31,250",432,"18,559,280",432,"12,743,689","1,090","198,485,799",93,"5,315,559",97,"3,625,767"
2261,MARK,20.56 %,105,$28,29,"6,978,150",23,"3,781,259",69,"21,621,911",12,"4,721,893",8,"2,823,749"
2262,MARPS,5.49 %,2,$1,5,"15,313",0,0,8,"109,780",4,"14,654",0,0
2263,MASI,85.57 %,55,"$13,522",201,"2,955,367",207,"2,078,314",505,"47,252,278",55,"807,951",35,"708,090"
2264,MASS,57.30 %,28,$374,65,"5,455,206",23,"1,140,861",99,"15,985,363",25,"1,854,538",13,"969,888"
2265,MAT,100.50 %,350,"$7,866",132,"24,247,940",135,"18,050,472",358,"352,083,173",40,"9,478,268",25,"1,749,876"
2266,MATW,81.76 %,31,$966,69,"1,512,159",80,"1,657,517",181,"25,729,825",15,"247,580",21,"859,485"
2267,MAXN,29.96 %,44,$261,39,"1,237,138",54,"2,714,064",132,"13,252,203",17,"649,067",24,"576,210"
2268,MAYS,3.36 %,2,$3,2,814,4,"10,931",12,"67,653",1,308,2,"10,419"
2269,MBCN,30.08 %,6,$48,5,"61,904",26,"201,360",43,"1,795,493",0,0,7,"21,553"
2270,MBII,45.02 %,177,$58,30,"2,540,495",35,"8,476,956",83,"79,749,975",9,"1,160,604",9,"634,433"
2271,MBIN,21.88 %,29,$309,45,"645,363",53,"833,084",119,"6,297,429",9,"135,050",18,"489,649"
2272,MBINP,3.00 %,2,$2,0,0,1,650,1,"62,400",0,0,0,0
2273,MBIO,28.72 %,93,$57,35,"2,881,002",46,"2,164,657",104,"26,585,073",7,"665,130",20,"527,771"
2274,MBNKP,4.81 %,2,$2,0,0,1,337,2,"88,490",0,0,0,0
2275,MBOT,9.55 %,7,$4,7,"76,440",8,"52,273",28,"679,113",1,"1,000",4,"51,725"
2276,MBRX,9.99 %,29,$6,7,"72,062",17,"194,287",33,"2,856,096",2,"22,482",9,"170,738"
2277,MBTC,78.00 %,15,$116,12,"3,211,985",3,"443,242",26,"11,575,513",7,"2,018,692",1,"441,131"
2278,MBTCR,09/30/2021,0,$399,09/30/2021,"900,000",0%,$378,0%,$378,09/30/2021,"826,981",0%,$347
2279,MBUU,97.31 %,21,"$1,522",113,"2,141,801",78,"2,710,554",220,"20,279,950",35,"845,201",13,"329,531"
2280,MBWM,52.82 %,16,$303,46,"229,623",46,"424,252",119,"8,277,686",9,"68,376",5,"24,041"
2281,MCAE,65.38 %,7,$46,18,"2,651,704",2,"223,655",26,"4,609,748",17,"2,532,358",1,"223,355"
2282,MCAER,09/30/2021,"310,600",$407,09/30/2021,"600,000",New,$360,0%,$273,09/30/2021,"450,000",0%,$270
2283,MCAF,50.28 %,8,$37,20,"3,799,892",0,0,20,"3,799,892",20,"3,799,892",0,0
2284,MCAFR,09/30/2021,"747,450",$409,09/30/2021,"400,000",New,$219,New,$189,09/30/2021,"242,550",New,$133
2285,MCBC,35.81 %,34,$110,40,"1,005,611",37,"896,319",96,"12,242,692",8,"534,003",7,"283,709"
2286,MCBS,14.87 %,25,$110,21,"208,879",16,"389,747",43,"3,785,812",5,"110,652",4,"54,262"
2287,MCFE,80.32 %,183,"$3,768",127,"27,421,731",41,"13,305,075",172,"146,896,403",48,"9,987,641",15,"1,147,838"
2288,MCFT,82.66 %,19,$449,51,"1,436,418",65,"1,721,501",130,"15,659,861",12,"371,732",22,"794,823"
2289,MCHP,91.55 %,555,"$42,321",430,"43,454,882",409,"33,360,232","1,019","507,990,618",72,"10,708,198",77,"4,869,262"
2290,MCHX,65.36 %,37,$61,10,"666,555",23,"562,266",45,"24,113,819",1,"22,111",9,"225,052"
2291,MCMJ,74.45 %,15,$112,19,"2,533,150",20,"1,475,905",51,"11,154,009",9,"1,301,446",6,"416,787"
2292,MCMJW,09/30/2021,0,"$1,135",09/30/2021,"349,563",0%,$514,0%,$434,09/30/2021,"286,595",0%,$421
2293,MCRB,86.67 %,92,$763,79,"23,124,041",75,"29,866,686",176,"79,606,438",31,"4,502,159",43,"17,271,287"
2294,MCRI,66.56 %,19,$890,55,"827,906",72,"718,220",156,"12,470,638",13,"183,433",13,"317,767"
