,tick,position,error
185,DKDCW,1235,'NoneType' object is not subscriptable
186,DLCAW,1239,'NoneType' object is not subscriptable
187,DPCSW,1262,'NoneType' object is not subscriptable
188,DRAYW,1266,'NoneType' object is not subscriptable
189,DRCTW,1268,'NoneType' object is not subscriptable
190,DRMAW,1271,'NoneType' object is not subscriptable
191,DRTSW,1274,'NoneType' object is not subscriptable
192,DTOCW,1289,'NoneType' object is not subscriptable
193,DTRTW,1291,'NoneType' object is not subscriptable
194,DUNEW,1295,'NoneType' object is not subscriptable
195,DWACW,1302,'NoneType' object is not subscriptable
196,EACPW,1316,'NoneType' object is not subscriptable
197,EBACW,1320,'NoneType' object is not subscriptable
198,EDBLW,1333,'NoneType' object is not subscriptable
199,EDTXW,1340,'NoneType' object is not subscriptable
200,EFSCP,1347,'NoneType' object is not subscriptable
201,EFTRW,1349,'NoneType' object is not subscriptable
202,EMBKW,1373,'NoneType' object is not subscriptable
203,EMCGR,1376,'NoneType' object is not subscriptable
204,EMCGW,1377,'NoneType' object is not subscriptable
205,EMLDW,1382,'NoneType' object is not subscriptable
206,ENCPW,1384,'NoneType' object is not subscriptable
207,ENERR,1386,'NoneType' object is not subscriptable
208,ENERW,1387,'NoneType' object is not subscriptable
209,ENTFW,1397,'NoneType' object is not subscriptable
210,ENTXW,1400,'NoneType' object is not subscriptable
211,EOSEW,1405,'NoneType' object is not subscriptable
212,EPHYW,1408,'NoneType' object is not subscriptable
213,EQRXW,1417,'NoneType' object is not subscriptable
214,ESACW,1426,'NoneType' object is not subscriptable
215,EUDAW,1442,'NoneType' object is not subscriptable
216,EVGOW,1449,'NoneType' object is not subscriptable
217,EVGRW,1451,'NoneType' object is not subscriptable
218,EVLVW,1455,'NoneType' object is not subscriptable
219,EVOJW,1458,'NoneType' object is not subscriptable
220,FATBP,1491,'NoneType' object is not subscriptable
221,FATPW,1494,'NoneType' object is not subscriptable
222,FAZEW,1496,'NoneType' object is not subscriptable
223,FEXDW,1522,'NoneType' object is not subscriptable
224,FFIEW,1528,'NoneType' object is not subscriptable
225,FGBIP,1534,'NoneType' object is not subscriptable
226,FGFPP,1537,'NoneType' object is not subscriptable
227,FGIWW,1539,'NoneType' object is not subscriptable
228,FHLTW,1545,'NoneType' object is not subscriptable
229,FIACW,1548,'NoneType' object is not subscriptable
230,FICVW,1551,'NoneType' object is not subscriptable
231,FINMW,1554,'NoneType' object is not subscriptable
232,FMIVW,1585,'NoneType' object is not subscriptable
233,FNVTW,1593,'NoneType' object is not subscriptable
